lateral_range,lateral_range_delta,lateral_range_percent_change,forward_velocity,forward_velocity_delta,forward_velocity_percent_change,run_name
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,BAGL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,BAGR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,BDUL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,BDUR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,CEPDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,CEPDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,CEPVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VC01
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VC02
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VC03
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VC04
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VC05
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,HSNL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,HSNR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL1DL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL1DR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL1L
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL1R
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL1VR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL2DL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL2DR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL2L
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL2R
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL2VL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL2VR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,LUAL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,LUAR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,OLLL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,OLLR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,OLQDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,OLQDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,OLQVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,OLQVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PDA
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PDB
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PDEL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PDER
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PHAL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PHAR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PHBL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PHBR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PHCL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PHCR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PLML
